"";"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"107";"Rotenberg";152,550173263473;379,984072989896;247,297630661705;239,327192815012
"108";"Schmidener Vorstadt";966,553056801054;2211,92883633194;1453,96378683754;1406,2076920769
"109";"Schönberg";278,421057702334;708,920959315538;453,59590167291;435,640301955945
"110";"Seelberg";1134,65625797655;2948,56632317695;1854,11232136683;1791,2215505676
"111";"Siegelberg";114,96541848711;289,65268341917;184,695978349029;177,660201086321
"112";"Sillenbuch";1605,22666284659;3990,54737052958;2558,36320816708;2434,84510124336
"113";"Solitude";13,4550421436901;26,8564538567501;19,152916505045;18,680602690851
"114";"Sommerrain";522,899758078223;1638,10920000346;962,814279805476;913,194862063838
"115";"Sonnenberg";869,647959448334;2065,39450167149;1391,70708857774;1338,5892352158
"116";"Stammheim-Mitte";863,157559030584;2465,53209823686;1463,57454188244;1396,19553973396
"117";"Stammheim-Süd";638,039240115569;1935,50939052981;1125,96243087763;1075,16620556509
"118";"Steckfeld";477,392254425291;1015,93181557458;723,542896273523;715,938655991192
"119";"Steinhaldenfeld";339,822034448645;1352,42346889258;714,714095585104;666,78407137264
"120";"Sternhäule";20,9836123748345;40,4065703385624;28,7431575091808;28,1745506044023
"121";"Stöckach";939,201540668777;1881,89837991634;1336,23593749023;1304,78138919729
"122";"Südheim";1173,3516370953;2482,12479918604;1709,70697617158;1669,99461214688
"123";"Tränke";50,2856709357208;108,050261109275;72,925203967658;69,9398887004822
"124";"Uhlandshöhe";515,544847151386;1177,2719266961;786,04268179123;768,40282063307
"125";"Uhlbach";414,91411546582;1218,46247737769;700,88305701546;663,207417857602
"126";"Universität";141,673116810041;275,046995024043;199,802930188017;196,808599886333
"127";"Untertürkheim";1242,41249468767;2881,89859141964;1858,00944922485;1796,25209763506
"128";"Vaihingen-Mitte";1713,10437297431;3491,74322673456;2549,61961813379;2524,74183796395
"129";"Veielbrunnen";312,904427237262;671,70558828482;456,377248456207;446,210859862893
"130";"Vogelsang";2746,69486197637;4912,74101478338;3766,40960579958;3732,40208993129
"131";"Waldau";555,613899681261;1411,58079348743;877,586758228252;839,24695053646
"132";"Wallgraben-Ost";75,9736230669675;167,976536654653;111,887163215938;108,967561456995
"133";"Wallgraben-West";110,182801049702;237,329229146958;162,716284121136;158,665962373436
"134";"Wangen";1359,32570668764;3405,54846627098;2096,45167825605;1985,23586113964
"135";"Wasen";38,9761492440122;70,1127548978417;53,2796278426968;52,5969778806807
"136";"Weilimdorf";2748,87983418234;7067,80405231756;4352,90443830443;4131,43658428973
"137";"Weilimdorf-Nord";52,6717661130748;149,723073194994;96,9736445896751;94,2538083011617
"138";"Weinsteige";495,855793450321;1217,62658781859;792,85563526083;759,876670061438
"139";"Weißenhof";476,269349646226;1294,06287076658;778,880702843551;741,541469496008
"140";"Wildpark";3,01612227813008;5,98052444519055;4,30252638753156;4,22199992550711
"141";"Winterhalde";606,306576415163;1591,04631819301;983,844896486606;938,071452996939
"142";"Wolfbusch";507,364437503632;1297,78573078769;825,059579538634;788,76163927506
"143";"Zazenhausen";356,682089678223;817,392720951145;546,277456966948;530,054946747075
"144";"Zuffenhausen-Am Stadtpark";576,01816232835;1288,42575067549;861,134923644486;825,555129783807
"145";"Zuffenhausen-Elbelen";89,9690592286165;242,448462180119;148,66503832925;141,751027803119
"146";"Zuffenhausen-Frauensteg";232,831972562687;578,244886873707;366,861677424834;349,874933948664
"147";"Zuffenhausen-Hohenstein";670,528171599191;1431,47821397587;985,847397104799;960,969593385327
"148";"Zuffenhausen-Im Raiser";168,233900955681;330,936943474396;242,600621134155;240,40522781317
"149";"Zuffenhausen-Mitte";1097,61569925671;2568,20888530079;1685,18687231072;1629,79531393388
"150";"Zuffenhausen-Mönchsberg";853,70391318941;2123,41150971079;1343,74780311331;1288,03173281577
"151";"Zuffenhausen-Schützenbühl";236,168476059333;664,734321242659;407,255905677197;390,802323460285
