"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Untertürkheim";1394,56666666715;1966,72024974047;1649,73195329059;1634,23688234521
"Vaihingen-Mitte";1470,20489054408;2012,04739579165;1727,78298944635;1724,7520520973
"Veielbrunnen";379,40791991732;541,776956680778;461,920451213689;461,433237159449
"Vogelsang";2430,83129203368;3217,05205479758;2785,5403336129;2770,72130852918
"Waldau";718,471586652967;964,897524272626;827,30842605772;823,48510554275
"Wallgraben-Ost";89,5154679201127;122,605961709978;104,626179657535;104,160946471549
"Wallgraben-West";98,0711682935471;141,949144754254;117,976152191116;117,528770626461
"Wangen";1709,03664937459;2389,67687056409;2025,52773542647;2011,07356435698
"Wasen";9,47398036237703;14,4282280024166;11,7830306613412;11,6812998680075
"Weilimdorf";2954,42178238074;4618,78030408648;3747,4911159277;3740,80276280438
"Weilimdorf-Nord";84,8373586943675;143,976882122036;114,273856375815;114,403805533218
"Weinsteige";528,713751637084;714,185988769988;609,3193547678;605,681878633895
"Weißenhof";562,680925009626;766,484385013168;651,591584115695;646,117112410715
"Wildpark";1,83323849087126;3,05221426797202;2,43651069828172;2,43710764775286
"Winterhalde";738,518299167995;1036,664212962;873,56808677352;867,710323602579
"Wolfbusch";539,318015751055;792,0774240223;663,861641201562;663,309828372542
"Zazenhausen";396,617397171324;579,233020632784;476,434984942099;472,59871341535
"Zuffenhausen-Am Stadtpark";555,717922101351;817,196553047605;673,092545317601;669,811096809804
"Zuffenhausen-Elbelen";94,9134058482465;146,655271761783;119,312745040575;119,281953341506
"Zuffenhausen-Frauensteg";272,009756249915;398,490353087341;328,812540050334;328,105657069664
"Zuffenhausen-Hohenstein";628,705870914682;901,875718614029;747,705951773353;743,593294727984
"Zuffenhausen-Im Raiser";173,723887242679;226,425900408137;198,069038131048;197,374016743696
"Zuffenhausen-Mitte";1288,71358440316;1844,56569028902;1530,92714067343;1522,68259211051
"Zuffenhausen-Mönchsberg";789,746458376125;1158,11535067114;945,33010467746;937,078688890454
"Zuffenhausen-Schützenbühl";258,433802226225;396,345517312749;317,880143572237;315,61474251182
