"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Luginsland";632,436117909045;301,037706091198;388,199127085152;860,819953004584;369,177189846697;570,842930360626;750,843469643461;337,272613332015;472,883917024524;751,766795652873;338,965464780647;469,64709401071
"Möhringen-Mitte";1798,27393815311;893,807085849648;1222,71085186104;2324,21235601541;1056,50517842293;1661,23753247012;2053,37202095142;980,272854379257;1431,35512466933;2053,96110846975;982,23117520447;1426,75245325478
"Möhringen-Nord";746,403077503266;393,034524164395;564,053319104454;1016,23527191295;473,317852459699;789,212569361494;877,878292705024;436,482535964142;667,639171330835;878,556886982171;437,773914000939;662,741588766069
"Möhringen-Ost";1400,49304155475;704,998135887335;960,417927254865;1865,24095101715;843,664038632358;1348,27166995443;1623,70691105112;780,004237369248;1149,28885157963;1622,53126258556;781,811241645487;1145,32740895897
"Möhringen-Süd";750,840466816992;387,706110447487;533,420123570853;1034,82356205189;468,67278667171;768,032093228137;887,955851602713;431,865035078673;649,179113318614;888,168284060838;433,112901792381;646,946068154404
"Mönchfeld";675,702834136629;319,468329331273;392,447080693915;953,500698970568;390,441018607676;615,727315009423;829,073669039637;356,421404443135;485,504926517228;838,112842450658;357,613479855068;477,290057124065
"Mönchhalde";659,764628953634;336,52042028147;474,422144760517;881,389132501935;406,190277564069;658,984052515813;773,003792095804;373,362666809036;555,63354109516;773,376445467903;373,820115670318;553,145961795975
"Muckensturm";738,182451615281;322,342811506604;410,111991477263;969,333635532795;399,06190711224;590,557270323882;856,961256564155;363,576767631787;493,461975804058;856,222344723864;364,819786478608;491,2598416603
"Mühlhausen";800,455377172668;401,739149711545;501,146772100001;1165,66778765508;489,290203686067;806,978070084561;1004,49099987692;447,470326578007;623,038673545071;1016,39731677278;449,343368320979;609,847674669215
"Münster";1790,48445451449;764,654262436558;942,057067657152;2266,15443399503;926,350753269768;1311,93976675811;2023,58217214637;847,282792894379;1125,13503495925;2021,7657339562;850,096317733531;1123,76861879016
"Neckarvorstadt";1263,02777850592;504,145604889718;604,006870961568;1555,48122148474;609,224308831473;818,910970593672;1402,57704862564;558,670232007435;713,752719366922;1398,31014557078;560,435166031582;714,253015405469
"Neue Vorstadt";418,244194289437;208,7168939023;287,860365689909;526,68012761555;243,71869940591;377,381575179995;473,160350511825;226,646487422071;331,193162066104;474,338982932962;226,844508526708;329,725871520729
"Neugereut";1975,22416891831;884,188708730419;1075,91940698227;2775,82885121426;1112,42650341468;1688,82555237689;2401,70365360858;1007,97415510593;1343,32219128549;2418,96115410122;1013,37795828071;1324,56065837187
"Neuwirtshaus";187,877231998017;78,6425166562938;89,7177503407468;262,462319990671;101,175785277586;144,036465977107;223,93788150357;90,7666470427766;116,295471453654;223,909328393489;91,105952687927;115,986218203125
"Nordbahnhof";574,057453522188;258,670233075934;338,373019050363;706,210724973979;305,59615371026;442,221689691382;642,93660272416;282,51415655305;385,54924072279;642,232523589794;282,677693310198;385,5760441651
"Oberer Schlossgarten";112,768881547866;56,6117307728784;79,8139068159516;147,370815132444;67,7036564499065;107,171603097993;130,216631739563;62,5398802000451;92,2434880603922;130,443530063962;62,7058767689663;91,8137751593222
"Obertürkheim";1446,55202295795;676,987423318214;860,503163649713;1940,28447746741;818,225792247538;1248,10360825569;1701,87362437216;750,057113389876;1044,06926223797;1709,30884497226;751,130776716213;1036,822105461
