"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Sommerrain";600,465822870303;861,859677284729;715,847395878953;708,993633089006
"Sonnenberg";808,006178515605;1097,8937852548;941,340629004448;938,906177041041
"Stammheim-Mitte";1015,38012536191;1802,73117679005;1374,8541192318;1361,13353176406
"Stammheim-Süd";703,327992750546;1327,45227108068;979,836324798043;965,778982125678
"Steckfeld";484,406813007167;679,577874863118;580,464795704793;579,227725617034
"Steinhaldenfeld";646,409659012281;915,902965202057;767,015787368066;759,744253012406
"Sternhäule";52,3886030602624;70,6864550142691;61,3235485759366;61,1320676367277
"Stöckach";1122,49913096907;1467,92437676746;1274,99044423489;1268,07959871544
"Südheim";1251,81097133094;1612,0421343719;1411,24549012242;1407,92605982529
"Tränke";56,9131627155858;78,2092056060299;66,4784614653845;66,2842645959424
"Uhlandshöhe";600,044634585443;789,26659702586;682,788830976894;677,555739151344
"Uhlbach";614,171853855177;910,368535612301;746,21026193522;740,404392299257
"Universität";148,641376461479;201,598583903656;174,248917072079;174,073527350628
"Untertürkheim";1446,13419357623;2017,47975027841;1699,64226228146;1683,09403837707
"Vaihingen-Mitte";1487,26195858126;1987,95971963868;1711,37682867248;1706,56759455078
"Veielbrunnen";396,696358205927;541,999676412804;463,334364651251;461,553726497512
"Vogelsang";2471,56802050308;3185,5649583068;2781,95841666645;2770,0339674609
"Waldau";700,424649675541;951,022928865337;813,531027741435;811,549304319466
"Wallgraben-Ost";87,3285573948471;116,844067790398;101,898158752888;101,818585508588
"Wallgraben-West";97,5128210411861;136,897941881531;114,93831804815;114,549823628742
"Wangen";1590,27644539109;2333,7029005715;1955,98082752477;1955,45386367782
"Wasen";9,46209469783278;14,2724724861269;11,6042617880596;11,5205913317861
"Weilimdorf";3175,51246946158;4751,45724717136;3919,37932556831;3912,57611738539
"Weilimdorf-Nord";102,230731784804;149,824903803048;125,839756521388;125,561164661672
"Weinsteige";513,432500558092;689,707436507291;589,032103296565;586,686202555214
