"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Wildpark";3,85126912785298;6,27099685819603;4,97611004575762;4,92810449247978
"Winterhalde";820,27811043337;1493,74124536752;1054,57707339061;1014,70627095118
"Wolfbusch";608,397800331093;1112,16357636562;788,625984985585;766,881043161173
"Zazenhausen";442,442304096434;755,508276774059;558,930981800102;546,027562147781
"Zuffenhausen-Am Stadtpark";616,495980884199;1119,66774148576;801,698228910125;773,494240345871
"Zuffenhausen-Elbelen";108,50116750016;214,330674479512;147,279734611682;140,731096541316
"Zuffenhausen-Frauensteg";271,311755244505;517,293606861707;360,449622871949;345,115328444971
"Zuffenhausen-Hohenstein";720,736913378162;1204,14831967014;902,108989956742;882,937545333437
"Zuffenhausen-Im Raiser";211,831457005128;282,735506033431;244,126441838206;243,270421476309
"Zuffenhausen-Mitte";1335,57046164482;2367,55524335073;1708,07564103061;1659,84434442307
"Zuffenhausen-Mönchsberg";844,495361478493;1734,52263585081;1133,43485134521;1081,60813187513
"Zuffenhausen-Schützenbühl";315,748862500777;612,034139358529;422,615100353936;406,712786458252
