"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Sonnenberg";848,767043462013;1629,65276434315;1119,88518797635;1076,97751343711
"Stammheim-Mitte";1118,22282426116;2424,56970982831;1621,77679974483;1558,5698501329
"Stammheim-Süd";782,472145201379;1781,62837759081;1169,6261121547;1119,28107431229
"Steckfeld";498,343689163662;827,529997332885;626,958379128599;616,200311442054
"Steinhaldenfeld";720,266700686274;1401,93421484858;942,607368145006;898,997084982907
"Sternhäule";24,8895691659433;38,3667819694837;30,2903880721527;29,7681832945683
"Stöckach";1155,95248009522;1822,93498404489;1413,76557671251;1384,61393499177
"Südheim";1343,12659358988;2173,08161293114;1642,97547311793;1608,40293696529
"Tränke";52,1240283889605;94,4378503516823;67,1614706583058;65,3957486468901
"Uhlandshöhe";634,913585812241;1056,11089838582;788,751449311388;768,507300706851
"Uhlbach";661,826433684587;1315,28052763041;884,70489975267;848,086139563286
"Universität";139,400459818054;219,914753814968;175,925194288801;174,21890476037
"Untertürkheim";1578,74223850437;2748,65644288797;1999,56916398399;1932,73751424241
"Vaihingen-Mitte";1524,49542989787;2585,16385841362;1899,31966244743;1849,23391508958
"Veielbrunnen";430,342801862517;689,059170596908;529,550223065341;521,227318930133
"Vogelsang";2597,08449087682;3889,19218989337;3135,4442387598;3088,47619895864
"Waldau";710,532874978329;1303,30436527776;919,449091949225;891,550916591362
"Wallgraben-Ost";82,9450732987865;146,165171600507;106,038970018581;103,258035637885
"Wallgraben-West";116,125523516971;204,72620487969;148,456714260601;144,119090757341
"Wangen";1680,57616558742;3231,7762637047;2229,732164215;2161,18749070753
"Wasen";39,1169792227485;66,0064908256211;51,1859045815331;50,7337850971165
"Weilimdorf";3478,26231548591;6818,59655307875;4665,83858350164;4494,00980380563
"Weilimdorf-Nord";89,2349530920783;142,778189059877;113,606866463798;113,004844168677
"Weinsteige";530,29148842775;998,501022762725;690,033243732028;663,346423474505
"Weißenhof";581,612541010157;1146,10837502945;768,219936835026;733,867498786345
"Wildpark";4,41619375605073;6,61186743581726;5,37936753164311;5,296798715902
"Winterhalde";832,492834721133;1507,32514985406;1059,22104276973;1020,75794907648
"Wolfbusch";621,728711604084;1141,13506878552;805,902951076538;779,220709317987
"Zazenhausen";467,886561952944;775,88028736275;578,700098784577;565,213136334793
"Zuffenhausen-Am Stadtpark";665,942213326263;1177,68988727;844,824148797569;817,466178298428
"Zuffenhausen-Elbelen";127,064879268991;236,14083363874;163,317314687666;156,981851227133
"Zuffenhausen-Frauensteg";305,962182474147;559,697735669166;389,450142512067;374,992651616249
"Zuffenhausen-Hohenstein";757,154846951786;1235,45113255207;937,833990039945;919,114447656772
"Zuffenhausen-Im Raiser";217,784298700219;285,419289496866;249,797627760107;249,416983046597
"Zuffenhausen-Mitte";1424,12526134503;2448,25453848026;1794,19608346955;1742,76907560931
"Zuffenhausen-Mönchsberg";872,96399204628;1767,74354017279;1167,69408295251;1114,47950598043
"Zuffenhausen-Schützenbühl";350,192825754359;647,356069221145;455,26102453468;439,681409027681
