"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Relenberg";1575,04685934787;751,251829281277;1008,14620107307;1972,88570314336;886,458229033099;1330,98490716987;1770,13398994086;819,679565931987;1164,18644412715;1767,94397954178;819,936521521347;1164,51965908035
"Riedenberg";1376,60935877388;697,791344282413;978,307354509036;1830,45023472141;834,955894538527;1343,70169101671;1607,66285830376;772,262617175429;1147,07452452081;1613,46296039782;774,288064373162;1139,43575060651
"Rohr";1786,21203164593;968,944022762014;1381,32036487945;2459,76573976744;1156,01190157323;1940,95497916237;2127,97061425993;1069,41819017698;1634,6111955631;2138,84775710938;1072,06313506535;1621,07134423947
"Rohracker";864,268528063441;414,978047989228;555,874383675874;1148,88476513237;502,946277492872;783,173316125723;1009,62197699216;462,264352910895;658,113670096949;1009,79549125127;462,955021139853;652,549558575803
"Rosenberg";2567,74546033742;1384,0942986725;2056,15638086971;3258,69382948384;1610,5892997456;2670,22978668971;2925,8448752171;1501,69072179956;2332,46440298334;2930,97332901781;1503,11413808432;2324,80262695039
"Rosental";800,217792319714;427,466222220829;613,718920259712;1101,02976000368;512,122942013728;858,857960925302;953,797719252762;473,260579529263;723,941701217975;958,645725120893;474,353229384754;717,887368884606
"Rot";2797,56562736712;1206,7525729091;1530,74419587972;3578,34589360313;1468,41018414793;2111,64370819053;3195,79749130036;1344,68652646746;1801,51598223218;3201,79289896615;1348,53013425858;1794,730410276
"Rotebühl";3035,25508342986;1632,07485051296;2426,64021844114;3859,1083883564;1903,61181256837;3143,60941814855;3466,15520030281;1773,60186187125;2754,24293782594;3468,06259867527;1774,80247157202;2743,04281231058
"Rotenberg";189,734478878914;94,5113574176132;129,647437406694;251,683785154057;113,369961304367;179,132336330486;221,082761510896;104,585354386582;152,331884102522;221,629362394194;104,879653865293;151,431319427021
"Schmidener Vorstadt";1813,53988446772;762,464388703901;960,606466230317;2228,42147249048;914,84253809189;1276,12215767006;2018,94646735449;841,499919054894;1116,55361359062;2016,58393752888;843,376778266218;1117,76371479523
"Schönberg";328,623749566559;175,694427321902;253,467782187688;447,658484235775;210,526271123713;354,770365288799;387,901812142286;194,834930674979;300,263257182735;388,528918725314;195,213733996005;298,305166504378
"Seelberg";2420,30558206544;1041,24833287072;1334,40838039784;2974,25907689309;1245,94123973796;1766,02833243261;2694,57586219057;1147,40943105734;1541,01470675209;2689,57814676736;1149,14319582722;1540,77982052614
"Siegelberg";187,121777992335;78,5655125577166;98,6914399161381;242,256714015234;97,851367349364;138,41781010368;215,887976495635;88,8200744008248;116,291949103541;216,169010872867;89,1770492653056;115,590307220765
"Sillenbuch";1758,13066073023;907,323595331848;1277,9961147091;2384,61807044385;1093,247516534;1774,99894385475;2077,50623733829;1009,94797107902;1503,54579158268;2085,53135393981;1011,98658620195;1493,07185878953
"Solitude";19,0824780987994;9,75415842440414;13,2841747705417;24,7051073492408;11,3852724065705;17,858382489655;22,0406812844339;10,5889551440418;15,3703635715243;22,0462149472492;10,584298148736;15,2880398489607
"Sommerrain";833,578249062023;373,544383601385;481,286174643195;1097,05902579232;459,164456594833;684,639607819115;964,259560918818;419,913497667399;577,826941413783;964,457256325394;421,110498842393;575,826759802784
"Sonnenberg";798,44046319026;422,261327416528;609,570227956594;1064,54057551027;503,69010314546;832,81426598853;933,30488345419;466,576565624752;711,118550921057;934,931498047119;468,166445085299;709,141193846331
"Stammheim-Mitte";2094,70403379964;780,85422219924;818,85658059973;2911,6175025097;1024,99155241614;1414,74017059507;2491,96055342084;914,190276532054;1113,8491700471;2494,70512679199;918,467004774848;1106,27236569158
"Stammheim-Süd";1570,38131341726;554,348584933183;569,111760815411;2216,3873790829;759,914126728933;1039,44617511646;1890,03161745066;666,331730397975;793,636652151363;1895,2945139319;668,68079511875;784,677506834455
"Steckfeld";543,227055839129;275,97175059595;376,404514946254;711,527630932865;325,933480156074;519,414953627469;628,230199756455;302,466822310384;444,302977933161;629,039328920969;302,88238296731;442,826027446311
"Steinhaldenfeld";904,966290064586;402,131415508849;502,167640463858;1182,82571697348;493,697345583879;720,342571078598;1042,13834757699;451,246401940766;603,615250482247;1042,63188753917;452,685225334743;600,855389533496
"Sternhäule";66,7134503772435;30,8433374852807;41,6008917688872;83,5389829344709;36,4213580365661;55,0646601615971;75,1132061535736;33,7785429086121;48,1082509378143;75,1456341125468;33,8136838416177;47,9234082752297
"Stöckach";1450,74258465004;668,006188171347;901,573238657622;1796,02059764238;793,594425454746;1166,57967733501;1633,21109947158;733,339967210442;1023,44893331797;1634,03638453401;734,090917542639;1021,38442071144
"Südheim";1396,95405085223;688,417089618703;979,058589591811;1764,1205579812;813,735464517057;1269,82928387454;1583,04221766139;754,826066358485;1112,13171598012;1583,88884853893;755,316506400718;1110,27421027405
"Tränke";61,534096509223;31,1244996720158;43,6169491338464;81,5560195633975;36,9645982215319;60,1104369111111;71,6601976501843;34,3042295504059;51,0355727994097;71,8311125223188;34,3662433772167;50,8678380097475
"Uhlandshöhe";706,061848433518;338,599913374974;467,937391161107;895,420481727479;404,565186983125;619,69817971765;803,321083738683;373,739513237655;536,939403023662;804,074934455748;374,609311724069;535,610421889893
"Uhlbach";715,660608707863;361,562253782007;473,670528618681;1000,83456194229;440,285688250773;711,408248327136;860,444894495019;404,140498691327;584,414606813653;862,118720396499;405,385241462742;578,982955205452
"Universität";202,651031039203;92,948802532234;119,652646477117;252,266121430471;109,834243531692;159,843189881946;227,558671261033;101,34948429566;139,091844443308;227,280746110651;101,305786386089;139,198892409414
