"";"Observation.No";"Observed.y";"Predicted.y"
"865";843;3;3
"1505";1471;3;1
"1346";1313;1;1
"1511";1477;1;1
"435";431;3;1
"70";70;3;3
"375";371;1;3
"1753";1711;1;1
"424";420;3;3
"251";249;1;1
"553";545;3;1
"2543";2470;3;1
"1486";1452;3;3
"1462";1428;3;1
"2464";2394;1;1
"241";240;3;1
"697";685;3;1
"1804";1760;1;1
"2809";2732;1;3
"2362";2296;1;1
"3083";3003;2;1
"2099";2044;1;3
"2244";2185;2;1
"93";93;3;1
"2551";2478;1;1
"1424";1390;2;3
"2689";2614;1;1
"1341";1308;3;1
"1818";1774;1;1
"3129";3048;3;3
"2604";2530;3;3
"652";640;2;1
"2491";2419;3;3
"1183";1153;3;1
"2657";2583;3;1
"2111";2056;3;1
"2003";1951;1;3
"131";131;2;3
"549";541;3;3
"2934";2855;1;1
"591";582;1;1
"2943";2864;1;1
"1202";1172;3;1
"1447";1413;1;1
"1838";1791;3;3
"3096";3015;3;3
"2875";2797;1;1
"963";940;2;3
"811";794;1;1
"2441";2372;1;1
"2603";2529;1;1
"236";235;1;1
"457";453;3;1
"2713";2637;3;1
"1075";1048;3;3
"561";552;3;1
"2899";2821;1;1
"1627";1590;3;1
"1476";1442;1;1
"1745";1703;2;3
"1659";1621;3;1
"2651";2577;3;3
"65";65;2;1
"1245";1214;2;1
"720";708;1;1
"1001";978;1;1
"744";729;1;1
"2439";2370;3;1
"698";686;2;3
"2842";2765;2;1
"1009";985;1;1
"1296";1264;2;1
"1933";1883;2;1
"1010";986;1;1
"568";559;1;3
"2792";2716;3;1
"1152";1122;3;3
"2448";2379;2;1
"345";343;1;1
"1855";1807;3;3
"1126";1096;3;3
"3017";2938;1;3
"3026";2947;2;1
"552";544;1;1
"1326";1293;1;3
"2725";2649;1;3
"2624";2550;2;1
"827";807;3;3
"106";106;1;1
"483";478;2;1
"1965";1914;3;1
"257";255;3;3
"16";16;2;1
"1332";1299;3;1
"2171";2114;3;3
"1176";1146;2;1
"2549";2476;3;3
"2751";2675;3;3
"336";334;1;1
"2546";2473;3;1
"1619";1582;3;1
"2937";2858;1;3
"2417";2350;1;1
"2580";2506;1;1
"2456";2386;2;1
"187";186;1;1
"197";196;1;1
"1947";1896;2;1
"1388";1355;1;1
"2283";2224;1;1
"2420";2352;3;1
"2945";2866;3;1
"706";694;1;3
"2724";2648;1;1
"570";561;1;1
"1950";1899;1;1
"924";901;2;1
"1";1;3;1
"2936";2857;3;1
"638";626;1;1
"368";364;1;3
"2826";2749;2;1
"1668";1630;1;3
"1048";1022;1;3
"208";207;3;3
"2458";2388;1;1
"795";778;3;1
"2864";2786;2;1
"1019";994;3;1
"510";504;1;1
"2158";2102;1;1
"967";944;1;1
"269";267;3;3
"576";567;1;1
"2744";2668;2;1
"530";522;3;3
"646";634;3;1
"45";45;1;3
"2623";2549;1;1
"221";220;3;3
"2144";2089;1;3
"326";324;2;1
"1967";1916;3;3
"2284";2225;1;1
"2639";2565;2;1
"2195";2137;1;3
"118";118;2;1
"1246";1215;1;3
"955";932;3;1
"2554";2481;2;3
"770";754;3;1
"1953";1902;3;1
"2504";2432;1;1
"1005";981;1;1
"2331";2266;3;1
"1854";1806;3;3
"2340";2275;2;1
"1195";1165;2;1
"59";59;1;1
"2313";2249;3;1
"854";832;3;1
"478";473;2;1
"943";920;1;3
"1551";1516;1;3
"1692";1652;1;1
"1969";1918;2;1
"132";132;1;1
"1147";1117;1;3
"2634";2560;3;3
"18";18;3;1
"2680";2605;1;3
"2173";2116;3;3
"675";663;1;3
"2149";2093;2;3
"2345";2280;1;1
"408";404;1;3
"1909";1860;1;1
"1554";1519;1;1
"917";894;1;1
"169";168;2;1
"1751";1709;1;1
"861";839;3;1
"2628";2554;1;1
