"";"Observation.No";"Observed.y";"Predicted.y"
"2436";3316;1;1
"2295";3031;2;1
"2036";3095;2;2
"538";2458;1;1
"2615";1625;2;2
"9610";1590;4;3
"473";1397;1;2
"1315";1610;2;2
"690";2486;2;2
"788";340;2;1
"853";2290;1;2
"2222";1676;2;2
"13910";139;5;3
"3083";1064;2;1
"1374";47;1;1
"6511";3437;5;3
"2827";1688;2;2
"4410";3041;3;3
"18410";1477;5;3
"2866";2886;2;1
"2721";1061;1;2
"1818";817;3;2
"2026";1843;1;1
"2641";2608;1;1
"10100";3291;1;3
"1295";3063;2;2
"992";278;1;1
"1486";3153;2;1
"646";1231;1;2
"2381";842;2;1
"2341";1029;5;2
"618";2183;2;1
"453";732;2;2
"16810";983;5;5
"2555";2057;2;2
"309";272;1;1
"3069";1996;3;1
"370";2829;2;1
"1147";2356;2;2
"2028";1845;1;1
"1909";908;1;1
"2339";1027;3;2
"1493";179;1;1
"495";972;3;2
"2051";2776;2;2
"1086";1885;1;2
"1271";1017;1;2
"20910";2342;5;3
"2176";2468;2;1
"1588";783;3;2
"1735";816;2;2
"536";2456;2;1
"14110";217;5;3
"2118";584;2;2
"874";853;1;1
"1215";1006;3;2
"2213";3237;3;2
"2954";2136;1;1
"608";1792;2;2
"2395";696;2;2
"10310";2013;4;3
"1839";208;1;2
"1654";1020;1;2
"668";3130;2;1
"2858";1988;2;2
"2501";1441;3;2
"2121";495;1;2
"2332";1025;2;2
"987";1323;2;2
"963";1233;1;2
"5210";31;4;3
"1765";324;1;1
"2140";1515;1;2
"584";1345;1;1
"24510";3365;5;5
"2352";1519;3;2
"3131";2754;1;1
"1426";3332;2;2
"2873";1992;2;2
"2654";2271;2;2
"403";1954;1;2
"2813";2873;2;1
"10610";2180;4;3
"3033";193;1;1
"318";894;1;1
"1636";2684;2;2
"1464";3025;1;1
"2363";1274;1;2
"15010";419;5;3
"2577";2646;2;2
"16410";871;5;3
"1645";3207;2;2
"1103";2910;2;3
"1594";84;2;2
"1453";3072;1;2
"2766";2703;3;2
"2194";1896;2;2
"1757";1646;1;2
"1305";1249;1;2
"938";2;2;2
"1503";661;2;2
"1072";2628;2;2
"2805";188;1;2
"1185";2294;2;1
"791";2487;1;2
"677";200;2;2
"1959";343;3;1
"1482";740;2;2
"2482";1623;2;2
"2452";2234;2;2
"170";1929;1;2
"3024";2284;3;2
"159";1924;2;2
"834";204;1;2
"3101";514;1;1
"1819";2109;1;2
"1667";1328;1;1
"774";398;3;2
"2862";2882;1;1
"2372";722;1;1
"20101";3404;2;3
"1737";667;3;2
"528";1123;5;2
"115";2161;1;1
"2087";2777;2;2
"292";984;2;2
"2485";2700;1;2
"1168";1452;1;2
