"Observation.No";"Observed.y";"Predicted.Prob";"Predicted.y"
772;0;0,225609352723289;0
989;0;0,509010464835993;1
1000;0;0,333653048306265;0
84;0;0,242469201444294;0
235;0;0,362177707856482;0
1214;0;0,609200214975167;1
1851;1;0,616363250557399;1
2343;1;0,511588233809188;1
1488;0;0,500258300281557;1
2176;0;0,292440315576828;0
820;1;0,598496893441412;1
42;0;0,349197481489385;0
1144;0;0,197526890217437;0
322;1;0,378427728054033;0
1502;0;0,414399565559059;0
1905;0;0,383736887309379;0
706;0;0,632116120409037;1
945;1;0,466051440173972;0
2334;0;0,214117142499681;0
2007;0;0,228163798733367;0
1457;0;0,337310530754353;0
1163;0;0,465912332812747;0
1519;0;0,299318473518737;0
1047;0;0,30696194165562;0
1310;1;0,245706886364006;0
1585;1;0,633004807083834;1
262;1;0,467029426763046;0
2274;1;0,497350706825351;0
1884;0;0,410898740203337;0
767;1;0,531149846762604;1
1054;0;0,290794499590905;0
2329;1;0,593134519164348;1
2195;0;0,264072012955535;0
984;1;0,332978304022139;0
716;1;0,48253201320392;0
1932;1;0,460935095753807;0
2324;0;0,300827417284047;0
1165;1;0,512310071991876;1
777;0;0,192558543795603;0
1106;1;0,364158884758897;0
1668;0;0,184661713052799;0
1138;0;0,243160785662581;0
337;1;0,335044802589725;0
2321;1;0,623010214023481;1
2225;0;0,460520356543805;0
1440;0;0,185393516797559;0
611;1;0,560196665587593;1
1622;1;0,547229337245296;1
456;0;0,501883394269581;1
1240;1;0,283991109825824;0
1980;1;0,497350706825351;0
1643;0;0,310899177483958;0
2322;1;0,433100230762643;0
255;1;0,540284269288627;1
2316;0;0,425210620507677;0
592;0;0,446465152150604;0
1762;0;0,54956794356954;1
2363;0;0,509456416412365;1
525;1;0,582271500233822;1
614;0;0,5107548393049;1
238;1;0,327458178903867;0
1514;0;0,525330948740578;1
182;1;0,4816202819417;0
1168;0;0,243160785662581;0
30;0;0,627563642687546;1
2189;0;0,361701485645508;0
308;0;0,593172755510152;1
14;0;0,501883394269581;1
849;0;0,161370108881039;0
2191;0;0,561160501048331;1
997;1;0,376957923482912;0
2019;1;0,641969068208905;1
455;0;0,329423214213126;0
885;0;0,506095585416458;1
132;1;0,625761962848295;1
902;0;0,345558936332149;0
226;1;0,345675866123453;0
1013;1;0,625761962848295;1
814;0;0,362964478952653;0
1105;0;0,345558936332149;0
432;0;0,467029426763046;0
1126;1;0,680817063199661;1
512;0;0,46699982230293;0
1241;0;0,476820385428683;0
2376;0;0,284850276010172;0
2288;0;0,319729362396528;0
1730;0;0,314676725882746;0
543;0;0,469790396485869;0
818;0;0,49581361751648;0
1772;1;0,30330101056156;0
1767;1;0,13870856471451;0
2063;0;0,314676725882746;0
1380;0;0,296088327492429;0
1433;0;0,560196665587593;1
651;0;0,353462736332287;0
941;0;0,458046571301515;0
2344;0;0,593134519164348;1
548;0;0,376374594780624;0
297;1;0,728318901056687;1
284;1;0,30330101056156;0
928;0;0,453763530915303;0
415;1;0,11796220771571;0
1377;1;0,641969068208905;1
313;0;0,37252703577655;0
91;0;0,490972493015058;0
1403;0;0,50953539810818;1
212;0;0,345675866123453;0
910;0;0,462628082269442;0
1681;1;0,450856931783053;0
200;1;0,494962623418197;0
422;0;0,364454594356898;0
2111;0;0,407059609354849;0
1230;0;0,512388300858962;1
1608;0;0,350765762417071;0
703;0;0,309085119509568;0
2150;1;0,503524530600119;1
1026;0;0,492745940129524;0
159;1;0,651582318514769;1
1682;0;0,27937357816368;0
903;0;0,463503618162325;0
1332;1;0,544463706917784;1
81;0;0,464976435157748;0
1071;0;0,458046571301515;0
1568;0;0,513143061433547;1
1428;1;0,446465152150604;0
2270;0;0,544772524441219;1
2168;0;0,303611332318991;0
302;0;0,355816706137926;0
423;0;0,336741671877507;0
1741;1;0,625761962848295;1
1896;1;0,383736887309379;0
1816;1;0,520895695580546;1
1635;1;0,50196122799026;1
161;1;0,520046055657084;1
486;0;0,311654098420224;0
2339;0;0,46411005164794;0
1017;1;0,336741671877507;0
1592;0;0,334511183613735;0
444;0;0,424711080469313;0
1964;1;0,400305660700013;0
2206;0;0,602023959959863;1
2009;1;0,50953539810818;1
189;0;0,573323589910273;1
397;0;0,283388990448948;0
518;0;0,319318561761663;0
1038;1;0,48253201320392;0
672;0;0,467029426763046;0
670;0;0,355896266233966;0
1499;0;0,525330948740578;1
770;1;0,487854064038582;0
999;0;0,368669348765252;0
1546;0;0,31142471479151;0
1081;0;0,30696194165562;0
1806;1;0,552446708993951;1
1408;1;0,551323803914427;1
1458;0;0,400305660700013;0
664;0;0,435983240573797;0
133;0;0,30330101056156;0
967;1;0,339677303996337;0
891;1;0,437711329256842;0
1197;0;0,223038849803882;0
1019;0;0,435983240573797;0
1304;1;0,688604657916805;1
176;0;0,362177707856482;0
2110;0;0,287246468587827;0
319;0;0,528587729899677;1
2100;0;0,33734011266239;0
1655;0;0,702807685131746;1
883;1;0,466742081851526;0
1843;1;0,454743167998281;0
2197;0;0,277766877053045;0
876;0;0,293198910840765;0
281;0;0,382508551938933;0
1627;1;0,376957923482912;0
125;1;0,370869922560609;0
2128;0;0,488612751111283;0
1009;1;0,509010464835993;1
1798;0;0,583210667517146;1
1750;0;0,66003266966956;1
2005;0;0,228163798733367;0
500;0;0,240738966246413;0
2222;1;0,423744675939828;0
400;0;0,420077144914516;0
2320;1;0,623010214023481;1
1768;0;0,197630871783098;0
31;0;0,602761606794999;1
2172;1;0,308659436959669;0
2369;1;0,342058881766404;0
1701;1;0,462628082269442;0
392;1;0,488306766835226;0
2179;0;0,303611332318991;0
1995;1;0,383407037839547;0
2153;1;0,5711528486969;1
123;1;0,296578706946081;0
2125;1;0,226917409232767;0
2145;0;0,464183057652579;0
1944;0;0,705679615518466;1
1083;1;0,584704487527066;1
2056;0;0,638153989159556;1
