"";"Observation.No";"Observed.y";"Predicted.y"
"436";720;1;1
"1644";2285;1;1
"2240";1141;0;1
"2585";1731;0;1
"1311";755;0;1
"12";161;1;1
"2041";2201;0;1
"1620";285;1;1
"2375";1844;0;1
"1489";115;0;1
"510";1385;1;1
"1818";596;0;1
"1144";842;0;1
"959";443;1;1
"2689";1566;1;1
"2149";1036;1;1
"627";1741;0;1
"389";2067;0;1
"1624";1581;1;1
"821";81;0;1
"253";530;1;1
"1535";2107;0;1
"948";1553;0;1
"1404";1032;0;1
"371";2015;0;1
"323";274;1;1
"2749";2048;1;1
"2069";581;1;1
"1250";1816;0;1
"2406";1008;0;1
"2792";434;1;1
"53";971;0;1
"507";2226;1;1
"3031";126;0;1
"498";206;0;1
"231";569;1;1
"130";1222;1;1
"367";45;1;1
"1453";2184;0;1
"2772";795;0;1
"2395";507;0;1
"3053";494;0;1
"528";805;1;1
"1762";1646;1;1
"1999";1295;1;1
"838";402;1;1
"2257";898;1;1
"1435";2106;0;1
"1077";1387;1;1
"1214";2416;1;1
"993";242;1;1
"2582";509;0;1
"1156";1761;1;1
"1846";1284;0;1
"2278";691;0;1
"2840";2059;0;1
"1744";1642;0;1
"2426";1828;1;1
"2158";2112;1;1
"96";978;1;1
"1041";614;1;1
"513";800;1;1
"2678";1950;1;1
"1035";2336;0;1
"1952";645;0;1
"28";379;0;1
"1448";1556;0;1
"690";1775;0;1
"2103";934;0;1
"2050";1977;1;1
"2808";2050;1;1
"2350";1080;0;1
"2259";197;1;1
"1814";1610;0;1
"1691";1974;1;1
"568";939;0;1
"1954";646;0;1
"2578";1891;1;1
"1183";497;1;1
"3114";1217;1;1
"79";839;1;1
"1820";1497;0;1
"1761";1123;0;1
"359";1367;1;1
"1060";1873;1;1
"1988";1158;1;1
"2414";1687;0;1
"2653";2320;0;1
"2632";253;0;1
"95";977;0;1
"744";1482;0;1
"3042";903;0;1
"241";1165;0;1
"393";2071;0;1
"1230";1243;1;1
"1026";1870;1;1
"1268";735;1;1
"2500";1021;0;1
"538";1756;0;1
"294";856;1;1
"1665";2190;1;1
"1781";1071;0;1
"1420";1492;0;1
"1468";500;1;1
"1635";1918;1;1
"613";211;1;1
"1722";1438;1;1
"1843";2257;0;1
"2317";1789;1;1
"82";394;1;1
"746";1606;1;1
"1340";293;1;1
"742";2301;1;1
"1590";594;1;1
"1331";591;1;1
"236";522;1;1
"2020";119;1;1
"1518";344;1;1
"2798";1620;0;1
"2167";2081;1;1
"313";709;1;1
"2192";1340;0;1
"2359";2370;0;1
"1368";25;0;1
"2672";619;1;1
"579";303;1;1
"1098";2156;0;1
"2232";1886;1;1
"2977";552;1;1
"1877";518;1;1
"842";437;0;1
"2497";601;1;1
"1690";1437;0;1
"1235";893;0;1
"2524";618;1;1
"2463";450;0;1
"2342";746;0;1
"921";1212;0;1
"1133";1712;1;1
"445";280;1;1
"2293";363;1;1
"352";299;1;1
"516";802;1;1
"2198";1346;0;1
"1834";267;0;1
"2244";1401;0;1
"1411";1959;1;1
"2901";371;0;1
"2673";2392;0;1
"2954";1519;0;1
"3062";1937;1;1
"2994";2216;0;1
"1385";294;0;1
"1607";347;0;1
"1087";1333;0;1
"851";1630;1;1
"1559";1818;1;1
"2669";873;0;1
"673";282;0;1
"671";281;1;1
"198";989;0;1
"2135";175;1;1
"2408";1728;0;1
"928";2141;0;1
"2039";2200;0;1
"1450";1558;1;1
"1303";787;1;1
"2712";1981;0;1
"523";2300;1;1
"1654";739;0;1
"1861";1130;0;1
"870";621;1;1
"318";649;0;1
"2355";935;0;1
"2758";1188;0;1
"3028";2223;1;1
"260";321;0;1
"2583";1653;0;1
"787";213;0;1
"2764";1692;1;1
"3086";1628;1;1
"1457";1278;1;1
"1400";479;1;1
"662";304;0;1
"2906";936;0;1
"1010";612;0;1
"385";651;1;1
"2776";1466;1;1
"1270";736;0;1
"2657";2002;1;1
"2947";2012;0;1
"1950";643;0;1
"2699";1955;0;1
"556";2323;1;1
"2129";1823;0;1
"524";2169;0;1
"3007";373;0;1
"868";620;0;1
"1931";356;0;1
"1555";1279;1;1
"2502";1750;0;1
"2388";677;0;1
"416";495;0;1
