"Observation.No";"Observed.y";"Predicted.Prob";"Predicted.y"
1264;0;0,490061235801468;0
1820;1;0,65678964218713;1
73;0;0,329916825824958;0
1315;1;0,572444553891681;1
340;1;0,664893959261275;1
2310;1;0,296689633969804;0
180;0;0,35752597493698;0
2112;1;0,517536650546609;1
2168;0;0,308679391098289;0
1993;1;0,500935082579092;1
1769;0;0,352032972899758;0
1604;0;0,442968495026231;0
1885;0;0,169147180819645;0
2095;1;0,675155687182498;1
2017;0;0,311269609882357;0
442;0;0,3978234739036;0
2303;1;0,679419090575637;1
1064;0;0,45765523315664;0
894;0;0,338872013404329;0
316;0;0,562573732928195;1
728;0;0,558831642977622;1
1414;1;0,56843530599989;1
163;1;0,437406017084471;0
1164;0;0,520554386997547;1
78;0;0,480704766663173;0
1294;0;0,417374516114402;0
1105;0;0,333255983051672;0
419;1;0,564224683692347;1
12;0;0,704706419468496;1
230;0;0,447190060044812;0
326;0;0,18583702931318;0
1938;0;0,331987458486025;0
2127;1;0,188299123876166;0
1146;1;0,508268509660924;1
2041;0;0,585472262536362;1
1062;0;0,360381863132449;0
532;1;0,543279553027282;1
1364;0;0,294318577266869;0
2159;1;0,609724287264721;1
1154;0;0,351941482484335;0
384;0;0,639490183706687;1
603;0;0,606808899978992;1
523;0;0,359318585489668;0
639;0;0,344443043114552;0
240;1;0,516450437324425;1
2054;1;0,639551831887615;1
1935;0;0,390166762856163;0
2039;1;0,676318601504348;1
600;1;0,482368919168127;0
1673;0;0,393807445746329;0
497;0;0,324520128708313;0
1458;0;0,394280727778696;0
555;1;0,505640358393108;1
1176;0;0,391672101473556;0
1030;0;0,330080284847153;0
38;1;0,556999285576904;1
763;1;0,650904109016156;1
478;0;0,432925078279116;0
1436;0;0,203852341568177;0
1795;0;0,629852071773237;1
395;1;0,618176810770144;1
604;1;0,47244010005443;0
1381;0;0,471966964013996;0
1598;1;0,494620175482411;0
942;0;0,324645863685061;0
1516;1;0,563084384723759;1
2269;1;0,238618689309167;0
2239;0;0,670655032845556;1
2078;1;0,629337426146769;1
77;1;0,626838514519685;1
987;1;0,679762836062302;1
2359;0;0,319143234179161;0
1648;1;0,399566356846878;0
514;0;0,161483307532918;0
875;0;0,354701861705621;0
1380;0;0,294320415240042;0
2170;0;0,465148900700762;0
962;0;0,544062039031951;1
1966;0;0,385042502015708;0
630;0;0,467534851722841;0
1955;0;0,363405166198321;0
715;1;0,72209643847464;1
705;0;0,274799096893557;0
190;0;0,46015251469935;0
809;0;0,465526695135638;0
2184;0;0,55653601909268;1
1696;0;0,234474503915543;0
1090;0;0,334620110169193;0
852;1;0,440379579040079;0
1129;1;0,592721003706068;1
663;1;0,499214624831924;0
2296;0;0,345264047915766;0
488;1;0,491329227044606;0
2313;0;0,320669879639036;0
1720;0;0,306181093454866;0
1362;0;0,125705058007173;0
1003;1;0,46275868923767;0
1455;0;0,44705238450064;0
2120;0;0,566219354030814;1
1407;0;0,387083761239813;0
